STUSPS,NAME,NAME.1,pop1920,pop1930,pop1940
TX,Texas,Jefferson,"73,120","133,391","145,329"
TX,Texas,Jim Hogg,"1,914","4,919","5,449"
TX,Texas,Jim Wells,"6,587","13,456","20,239"
TX,Texas,Johnson,"37,286","33,317","30,384"
TX,Texas,Jones,"22,323","24,233","23,378"
TX,Texas,Karnes,"19,049","23,316","19,248"
TX,Texas,Kaufman,"41,276","40,905","38,308"
TX,Texas,Kendall,"4,779","4,970","5,080"
TX,Texas,Kenedy,"1,033",701,700
TX,Texas,Kent,"3,335","3,851","3,413"
TX,Texas,Kerr,"5,842","10,151","11,650"
TX,Texas,Kimble,"3,581","4,119","5,064"
TX,Texas,King,655,"1,193","1,066"
TX,Texas,Kinney,"3,746","3,980","4,533"
TX,Texas,Kleberg,"3,746","12,451","13,344"
TX,Texas,Knox,"9,240","11,368","10,090"
TX,Texas,La Salle,"55,742","48,529","50,425"
TX,Texas,Lamar,"1,175","17,452","17,606"
TX,Texas,Lamb,"8,800","8,677","9,167"
TX,Texas,Lampasas,"4,821","8,228","8,003"
TX,Texas,Lavaca,"28,964","27,550","25,485"
TX,Texas,Lee,"14,014","13,390","12,751"
TX,Texas,Leon,"18,286","19,898","17,733"
TX,Texas,Liberty,"14,637","19,868","24,541"
TX,Texas,Limestone,"33,283","39,497","33,781"
TX,Texas,Lipscomb,"3,684","4,512","3,764"
TX,Texas,Live Oak,"4,171","8,956","9,799"
TX,Texas,Llano,"5,360","5,538","5,996"
TX,Texas,Loving,82,195,285
TX,Texas,Lubbock,"11,096","39,104","51,782"
TX,Texas,Lynn,"4,751","12,372","11,931"
TX,Texas,Madison,"11,956","12,227","12,029"
TX,Texas,Marion,"10,886","10,371","11,457"
TX,Texas,Martin,"1,146","5,785","5,556"
TX,Texas,Mason,"4,824","5,511","5,378"
TX,Texas,Matagorda,"16,589","17,678","20,066"
TX,Texas,Maverick,"7,418","6,120","10,071"
TX,Texas,McCulloch,"11,020","13,883","13,208"
TX,Texas,McLennan,"82,921","98,682","101,898"
TX,Texas,McMullen,952,"1,351","1,374"
TX,Texas,Medina,"11,679","13,989","16,106"
TX,Texas,Menard,"3,162","4,447","4,521"
TX,Texas,Midland,"2,449","8,005","11,721"
TX,Texas,Milam,"38,104","37,915","33,120"
TX,Texas,Mills,"9,019","8,293","7,951"
TX,Texas,Mitchell,"7,527","14,183","12,477"
TX,Texas,Montague,"22,200","19,159","20,442"
TX,Texas,Montgomery,"17,334","14,588","23,055"
TX,Texas,Moore,571,"1,555","4,461"
TX,Texas,Morris,"10,289","10,028","9,810"
TX,Texas,Motley,"4,107","6,812","4,994"
TX,Texas,Nacogdoches,"28,457","30,290","35,392"
TX,Texas,Navarro,"50,624","60,507","51,308"
TX,Texas,Newton,"12,196","12,524","13,700"
TX,Texas,Nolan,"10,868","19,323","17,309"
TX,Texas,Nueces,"22,807","51,779","92,661"
TX,Texas,Ochiltree,"2,331","5,224","4,213"
TX,Texas,Oldham,709,"1,404","1,385"
TX,Texas,Orange,"15,379","15,149","17,382"
TX,Texas,Palo Pinto,"15,379","17,576","18,456"
TX,Texas,Panola,"21,755","24,063","22,513"
TX,Texas,Parker,"23,382","18,759","20,482"
TX,Texas,Parmer,"1,699","5,869","5,890"
TX,Texas,Pecos,"3,857","7,812","8,185"
TX,Texas,Polk,"16,784","17,555","20,635"
TX,Texas,Potter,"16,710","46,080","54,265"
TX,Texas,Presidio,"12,202","10,154","10,925"
TX,Texas,Rains,"8,099","7,114","7,334"
